..
  stopped.
  Welcome to Logo
project "microPop
  Start Project:  microPop     Fri May  8 11:43:24 PDT 2015   unix time:  1431110604241
  Opening Project  microPop
.microPop
  starting microPop
  82.41474147414742 0.630989010989011 3
  82.41474147414742 0.630989010989011 21
  82.16391639163916 0.630989010989011 40
  82.08030803080308 0.6245421245421245 58
  82.08030803080308 0.6245421245421245 76
  82.08030803080308 0.6245421245421245 95
  82.08030803080308 0.6245421245421245 113
  82.08030803080308 0.6245421245421245 131
  82.08030803080308 0.6245421245421245 150
  82.08030803080308 0.6245421245421245 168
  82.08030803080308 0.6245421245421245 186
  82.08030803080308 0.6293772893772894 205
  82.08030803080308 0.6285714285714286 223
  81.996699669967 0.6293772893772894 241
  81.996699669967 0.630989010989011 260
  81.74587458745874 0.6213186813186813 278
  81.66226622662266 0.6229304029304029 296
  81.32783278327832 0.6197069597069597 315
  81.32783278327832 0.6245421245421245 333
  81.32783278327832 0.6197069597069597 351
  81.32783278327832 0.6197069597069597 370
  81.32783278327832 0.6245421245421245 388
  81.07700770077008 0.6189010989010989 406
  80.65896589658966 0.6189010989010989 425
  80.65896589658966 0.6132600732600733 443
  80.4917491749175 0.6156776556776556 461
  80.32453245324533 0.6124542124542125 480
  80.15731573157316 0.6084249084249084 498
  80.07370737073708 0.606007326007326 516
  79.73927392739274 0.6825641025641026 535
  79.73927392739274 0.6761172161172161 553
  79.4048404840484 0.6761172161172161 571
  79.15401540154015 0.6825641025641026 590
  78.98679867986799 0.6761172161172161 608
  78.73597359735975 0.6761172161172161 626
  78.73597359735975 0.6696703296703297 645
  78.40154015401541 0.6696703296703297 663
  77.98349834983499 0.6696703296703297 681
  77.98349834983499 0.6696703296703297 700
  77.64906490649065 0.6648351648351648 718
  77.48184818481849 0.6648351648351648 736
  77.31463146314631 0.6648351648351648 755
  77.06380638063807 0.664029304029304 773
  76.72937293729373 0.66 791
  76.64576457645765 0.664029304029304 810
  75.97689768976898 0.6543589743589744 828
  75.97689768976898 0.6567765567765568 846
  75.8932893289329 0.6503296703296704 865
  75.72607260726073 0.6503296703296704 883
  75.30803080308031 0.6503296703296704 901
  75.14081408140814 0.6503296703296704 920
  74.97359735973598 0.6438827838827839 938
  74.80638063806381 0.6438827838827839 956
  74.63916391639164 0.6438827838827839 975
  74.3883388338834 0.6438827838827839 993
  74.05390539053906 0.6390476190476191 1011
  73.71947194719472 0.6382417582417582 1030
  73.63586358635864 0.6358241758241758 1048
  73.46864686468648 0.6342124542124542 1066
  73.38503850385038 0.630989010989011 1085
  73.05060506050606 0.6301831501831502 1103
  72.63256325632564 0.6285714285714286 1121
  71.96369636963696 0.6245421245421245 1140
  71.96369636963696 0.6245421245421245 1158
  71.96369636963696 0.6245421245421245 1176
  71.96369636963696 0.6237362637362638 1194
  71.96369636963696 0.6285714285714286 1213
  71.46204620462046 0.6213186813186813 1231
  71.2948294829483 0.6197069597069597 1249
  71.04400440044004 0.6132600732600733 1268
  70.62596259625963 0.6132600732600733 1286
  70.62596259625963 0.6132600732600733 1305
  70.62596259625963 0.6156776556776556 1323
  70.37513751375138 0.6124542124542125 1341
  69.95709570957095 0.6084249084249084 1360
  69.78987898789879 0.6068131868131869 1378
  69.62266226622663 0.606007326007326 1396
  69.37183718371838 0.5987545787545787 1414
  69.37183718371838 0.6027838827838827 1433
  69.03740374037403 0.6696703296703297 1451
  68.78657865786579 0.6696703296703297 1469
  68.61936193619363 0.6696703296703297 1488
  68.28492849284929 0.6672527472527473 1506
  68.11771177117711 0.6688644688644688 1524
  68.03410341034103 0.6648351648351648 1543
  68.03410341034103 0.66 1561
  67.69966996699671 0.6632234432234432 1579
  67.28162816281628 0.66 1597
  67.28162816281628 0.6575824175824175 1616
  66.94719471947195 0.6567765567765568 1634
  66.94719471947195 0.6583882783882784 1652
  66.69636963696371 0.6503296703296704 1671
  66.61276127612761 0.6543589743589744 1689
  66.52915291529153 0.6575824175824175 1707
  66.36193619361936 0.6503296703296704 1726
  66.02750275027503 0.6503296703296704 1744
  65.94389438943895 0.6503296703296704 1762
  65.27502750275028 0.6438827838827839 1781
  65.27502750275028 0.6438827838827839 1799
  65.27502750275028 0.6438827838827839 1817
  65.27502750275028 0.6438827838827839 1836
  65.02420242024203 0.6438827838827839 1854
  64.6061606160616 0.6406593406593406 1872
  64.6061606160616 0.6390476190476191 1891
  64.35533553355336 0.6374358974358975 1909
  64.27172717271728 0.6382417582417582 1927
  63.93729372937294 0.6342124542124542 1946
  63.93729372937294 0.6374358974358975 1964
  63.93729372937294 0.6374358974358975 1982
  63.68646864686469 0.630989010989011 2001
  63.43564356435644 0.6342124542124542 2019
  63.35203520352035 0.6301831501831502 2037
  63.1012101210121 0.630989010989011 2056
  62.93399339933993 0.6245421245421245 2074
  62.76677667766777 0.6285714285714286 2092
  62.68316831683168 0.6213186813186813 2111
  62.68316831683168 0.6245421245421245 2129
  62.34873487348735 0.6197069597069597 2147
  61.93069306930693 0.6213186813186813 2166
  61.93069306930693 0.6245421245421245 2184
  61.93069306930693 0.6197069597069597 2202
  61.261826182618265 0.6197069597069597 2221
  61.261826182618265 0.6172893772893773 2239
  61.261826182618265 0.6189010989010989 2257
  61.261826182618265 0.6197069597069597 2276
  61.011001100110015 0.6124542124542125 2294
  61.011001100110015 0.6156776556776556 2312
  60.760176017601765 0.6132600732600733 2331
  60.67656765676568 0.6124542124542125 2349
  60.592959295929596 0.6156776556776556 2367
  59.92409240924093 0.6068131868131869 2386
  59.92409240924093 0.606007326007326 2404
  59.92409240924093 0.6084249084249084 2422
